time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-13 00:00:00+00:00,296,135,,
2025-09-14 00:00:00+00:00,295,114,,
2025-09-15 00:00:00+00:00,277,143,,
2025-09-16 00:00:00+00:00,294,164,,
2025-09-17 00:00:00+00:00,256,148,,
2025-09-18 00:00:00+00:00,236,132,,
2025-09-19 00:00:00+00:00,470,167,,
2025-09-20 00:00:00+00:00,473,168,,
2025-09-21 00:00:00+00:00,297,130,,
2025-09-22 00:00:00+00:00,261,153,,
2025-09-23 00:00:00+00:00,296,141,,
2025-09-24 00:00:00+00:00,222,135,,
2025-09-25 00:00:00+00:00,237,110,,
2025-09-26 00:00:00+00:00,275,134,,
